==========================================
SLURM_JOB_ID = 8002737
SLURM_JOB_NODELIST = a04-06
TMPDIR = /tmp/SLURM_8002737
==========================================
/home1/dpwani/.conda/envs/dipak-vqa-2/lib/python3.10/site-packages/torch/utils/data/dataloader.py:487: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home1/dpwani/.conda/envs/dipak-vqa-2/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
| TRAIN SET | Epoch [20/30], Step [0000/1733], Loss: 1.6750
| TRAIN SET | Epoch [20/30], Step [0001/1733], Loss: 1.6112
| TRAIN SET | Epoch [20/30], Step [0002/1733], Loss: 1.7420
| TRAIN SET | Epoch [20/30], Step [0003/1733], Loss: 1.6061
| TRAIN SET | Epoch [20/30], Step [0004/1733], Loss: 1.7531
| TRAIN SET | Epoch [20/30], Step [0005/1733], Loss: 1.6790
| TRAIN SET | Epoch [20/30], Step [0006/1733], Loss: 1.8022
| TRAIN SET | Epoch [20/30], Step [0007/1733], Loss: 1.8110
| TRAIN SET | Epoch [20/30], Step [0008/1733], Loss: 1.5400
| TRAIN SET | Epoch [20/30], Step [0009/1733], Loss: 1.8294
| TRAIN SET | Epoch [20/30], Step [0085/1733], Loss: 1.7315
| TRAIN SET | Epoch [20/30], Step [0086/1733], Loss: 1.8975
| TRAIN SET | Epoch [20/30], Step [0087/1733], Loss: 1.6002
| TRAIN SET | Epoch [20/30], Step [0088/1733], Loss: 1.7954
| TRAIN SET | Epoch [20/30], Step [0089/1733], Loss: 2.0157
| TRAIN SET | Epoch [20/30], Step [0090/1733], Loss: 1.8179
| TRAIN SET | Epoch [20/30], Step [0091/1733], Loss: 1.9465
| TRAIN SET | Epoch [20/30], Step [0092/1733], Loss: 1.7788
| TRAIN SET | Epoch [20/30], Step [0093/1733], Loss: 1.9078
| TRAIN SET | Epoch [20/30], Step [0094/1733], Loss: 1.8981
| TRAIN SET | Epoch [20/30], Step [0095/1733], Loss: 1.8272
| TRAIN SET | Epoch [20/30], Step [0096/1733], Loss: 1.6998
| TRAIN SET | Epoch [20/30], Step [0097/1733], Loss: 1.9306
| TRAIN SET | Epoch [20/30], Step [0098/1733], Loss: 1.8975
| TRAIN SET | Epoch [20/30], Step [0099/1733], Loss: 1.7791
| TRAIN SET | Epoch [20/30], Step [0100/1733], Loss: 1.8062
| TRAIN SET | Epoch [20/30], Step [0101/1733], Loss: 1.7566
| TRAIN SET | Epoch [20/30], Step [0102/1733], Loss: 1.8068
| TRAIN SET | Epoch [20/30], Step [0103/1733], Loss: 1.8362
| TRAIN SET | Epoch [20/30], Step [0104/1733], Loss: 1.8735
| TRAIN SET | Epoch [20/30], Step [0105/1733], Loss: 1.6535
| TRAIN SET | Epoch [20/30], Step [0106/1733], Loss: 1.9033
| TRAIN SET | Epoch [20/30], Step [0107/1733], Loss: 1.7641
| TRAIN SET | Epoch [20/30], Step [0108/1733], Loss: 1.7959
| TRAIN SET | Epoch [20/30], Step [0109/1733], Loss: 1.8612
| TRAIN SET | Epoch [20/30], Step [0110/1733], Loss: 1.8657
| TRAIN SET | Epoch [20/30], Step [0111/1733], Loss: 1.6431
| TRAIN SET | Epoch [20/30], Step [0112/1733], Loss: 1.7179
| TRAIN SET | Epoch [20/30], Step [0113/1733], Loss: 1.8485
| TRAIN SET | Epoch [20/30], Step [0114/1733], Loss: 1.6968
| TRAIN SET | Epoch [20/30], Step [0115/1733], Loss: 1.7381
| TRAIN SET | Epoch [20/30], Step [0116/1733], Loss: 1.7577
| TRAIN SET | Epoch [20/30], Step [0117/1733], Loss: 1.6617
| TRAIN SET | Epoch [20/30], Step [0118/1733], Loss: 1.8978
| TRAIN SET | Epoch [20/30], Step [0119/1733], Loss: 1.7100
| TRAIN SET | Epoch [20/30], Step [0120/1733], Loss: 1.8624
| TRAIN SET | Epoch [20/30], Step [0121/1733], Loss: 1.8978
| TRAIN SET | Epoch [20/30], Step [0122/1733], Loss: 1.6632
| TRAIN SET | Epoch [20/30], Step [0123/1733], Loss: 2.0226
| TRAIN SET | Epoch [20/30], Step [0124/1733], Loss: 1.5810
| TRAIN SET | Epoch [20/30], Step [0125/1733], Loss: 1.7869
| TRAIN SET | Epoch [20/30], Step [0126/1733], Loss: 1.9980
| TRAIN SET | Epoch [20/30], Step [0127/1733], Loss: 1.7604
| TRAIN SET | Epoch [20/30], Step [0128/1733], Loss: 1.5898
| TRAIN SET | Epoch [20/30], Step [0129/1733], Loss: 1.6241
| TRAIN SET | Epoch [20/30], Step [0130/1733], Loss: 1.6814
| TRAIN SET | Epoch [20/30], Step [0131/1733], Loss: 1.9383
| TRAIN SET | Epoch [20/30], Step [0132/1733], Loss: 1.5756
| TRAIN SET | Epoch [20/30], Step [0133/1733], Loss: 1.8482
| TRAIN SET | Epoch [20/30], Step [0134/1733], Loss: 1.8112
| TRAIN SET | Epoch [20/30], Step [0135/1733], Loss: 1.9258
| TRAIN SET | Epoch [20/30], Step [0136/1733], Loss: 1.7315
| TRAIN SET | Epoch [20/30], Step [0137/1733], Loss: 1.8904
| TRAIN SET | Epoch [20/30], Step [0138/1733], Loss: 1.9978
| TRAIN SET | Epoch [20/30], Step [0139/1733], Loss: 2.1406
| TRAIN SET | Epoch [20/30], Step [0140/1733], Loss: 1.6072
| TRAIN SET | Epoch [20/30], Step [0141/1733], Loss: 1.6147
| TRAIN SET | Epoch [20/30], Step [0142/1733], Loss: 1.6810
| TRAIN SET | Epoch [20/30], Step [0143/1733], Loss: 1.7872
| TRAIN SET | Epoch [20/30], Step [0144/1733], Loss: 1.7084
| TRAIN SET | Epoch [20/30], Step [0145/1733], Loss: 1.6840
| TRAIN SET | Epoch [20/30], Step [0146/1733], Loss: 1.9325
| TRAIN SET | Epoch [20/30], Step [0147/1733], Loss: 2.0431
| TRAIN SET | Epoch [20/30], Step [0148/1733], Loss: 1.6887
| TRAIN SET | Epoch [20/30], Step [0149/1733], Loss: 1.6949
| TRAIN SET | Epoch [20/30], Step [0150/1733], Loss: 1.8201
| TRAIN SET | Epoch [20/30], Step [0151/1733], Loss: 1.6683
| TRAIN SET | Epoch [20/30], Step [0152/1733], Loss: 2.0350
| TRAIN SET | Epoch [20/30], Step [0153/1733], Loss: 1.8849
| TRAIN SET | Epoch [20/30], Step [0154/1733], Loss: 1.7342
| TRAIN SET | Epoch [20/30], Step [0155/1733], Loss: 2.0790
| TRAIN SET | Epoch [20/30], Step [0156/1733], Loss: 1.8581
| TRAIN SET | Epoch [20/30], Step [0157/1733], Loss: 1.9391
| TRAIN SET | Epoch [20/30], Step [0158/1733], Loss: 1.7872
| TRAIN SET | Epoch [20/30], Step [0159/1733], Loss: 1.8068
| TRAIN SET | Epoch [20/30], Step [0160/1733], Loss: 1.7155
| TRAIN SET | Epoch [20/30], Step [0161/1733], Loss: 1.8254
| TRAIN SET | Epoch [20/30], Step [0162/1733], Loss: 1.8305
| TRAIN SET | Epoch [20/30], Step [0163/1733], Loss: 1.8306
| TRAIN SET | Epoch [20/30], Step [0164/1733], Loss: 1.6480
| TRAIN SET | Epoch [20/30], Step [0165/1733], Loss: 1.8464
| TRAIN SET | Epoch [20/30], Step [0166/1733], Loss: 1.9115
| TRAIN SET | Epoch [20/30], Step [0167/1733], Loss: 1.7011
| TRAIN SET | Epoch [20/30], Step [0168/1733], Loss: 1.7203
| TRAIN SET | Epoch [20/30], Step [0169/1733], Loss: 1.8730
| TRAIN SET | Epoch [20/30], Step [0170/1733], Loss: 1.8963
| TRAIN SET | Epoch [20/30], Step [0171/1733], Loss: 1.8632
| TRAIN SET | Epoch [20/30], Step [0172/1733], Loss: 1.9460
| TRAIN SET | Epoch [20/30], Step [0173/1733], Loss: 1.7659
| TRAIN SET | Epoch [20/30], Step [0174/1733], Loss: 2.0541
| TRAIN SET | Epoch [20/30], Step [0175/1733], Loss: 1.9252
| TRAIN SET | Epoch [20/30], Step [0176/1733], Loss: 1.7398
| TRAIN SET | Epoch [20/30], Step [0177/1733], Loss: 2.0510
| TRAIN SET | Epoch [20/30], Step [0178/1733], Loss: 1.8012
| TRAIN SET | Epoch [20/30], Step [0179/1733], Loss: 1.8997
| TRAIN SET | Epoch [20/30], Step [0180/1733], Loss: 1.7692
| TRAIN SET | Epoch [20/30], Step [0181/1733], Loss: 1.7820
| TRAIN SET | Epoch [20/30], Step [0182/1733], Loss: 1.8278
| TRAIN SET | Epoch [20/30], Step [0183/1733], Loss: 1.7146
| TRAIN SET | Epoch [20/30], Step [0184/1733], Loss: 1.7805
| TRAIN SET | Epoch [20/30], Step [0185/1733], Loss: 1.7501
| TRAIN SET | Epoch [20/30], Step [0186/1733], Loss: 1.6804
| TRAIN SET | Epoch [20/30], Step [0187/1733], Loss: 1.9233
| TRAIN SET | Epoch [20/30], Step [0188/1733], Loss: 1.7089
| TRAIN SET | Epoch [20/30], Step [0189/1733], Loss: 1.6792
| TRAIN SET | Epoch [20/30], Step [0190/1733], Loss: 1.8679
| TRAIN SET | Epoch [20/30], Step [0191/1733], Loss: 1.6854
| TRAIN SET | Epoch [20/30], Step [0192/1733], Loss: 1.8963
| TRAIN SET | Epoch [20/30], Step [0193/1733], Loss: 1.5341
| TRAIN SET | Epoch [20/30], Step [0194/1733], Loss: 1.7061
| TRAIN SET | Epoch [20/30], Step [0195/1733], Loss: 1.7577
| TRAIN SET | Epoch [20/30], Step [0196/1733], Loss: 2.0184
| TRAIN SET | Epoch [20/30], Step [0197/1733], Loss: 1.8973
| TRAIN SET | Epoch [20/30], Step [0198/1733], Loss: 1.6572
| TRAIN SET | Epoch [20/30], Step [0199/1733], Loss: 1.6865
| TRAIN SET | Epoch [20/30], Step [0200/1733], Loss: 1.8269
| TRAIN SET | Epoch [20/30], Step [0201/1733], Loss: 1.7685
| TRAIN SET | Epoch [20/30], Step [0202/1733], Loss: 1.8632
| TRAIN SET | Epoch [20/30], Step [0203/1733], Loss: 1.6264
| TRAIN SET | Epoch [20/30], Step [0204/1733], Loss: 2.0359
| TRAIN SET | Epoch [20/30], Step [0205/1733], Loss: 1.6853
| TRAIN SET | Epoch [20/30], Step [0206/1733], Loss: 1.6283
| TRAIN SET | Epoch [20/30], Step [0207/1733], Loss: 1.6679
| TRAIN SET | Epoch [20/30], Step [0208/1733], Loss: 1.6455
| TRAIN SET | Epoch [20/30], Step [0209/1733], Loss: 1.8099
| TRAIN SET | Epoch [20/30], Step [0210/1733], Loss: 1.8391
| TRAIN SET | Epoch [20/30], Step [0211/1733], Loss: 1.8116
| TRAIN SET | Epoch [20/30], Step [0212/1733], Loss: 1.8875
| TRAIN SET | Epoch [20/30], Step [0213/1733], Loss: 1.7593
| TRAIN SET | Epoch [20/30], Step [0214/1733], Loss: 1.7948
| TRAIN SET | Epoch [20/30], Step [0215/1733], Loss: 1.7424
| TRAIN SET | Epoch [20/30], Step [0216/1733], Loss: 1.7893
| TRAIN SET | Epoch [20/30], Step [0217/1733], Loss: 1.6473
| TRAIN SET | Epoch [20/30], Step [0218/1733], Loss: 1.7157
| TRAIN SET | Epoch [20/30], Step [0219/1733], Loss: 1.6386
| TRAIN SET | Epoch [20/30], Step [0220/1733], Loss: 1.7711
| TRAIN SET | Epoch [20/30], Step [0221/1733], Loss: 1.7036
| TRAIN SET | Epoch [20/30], Step [0222/1733], Loss: 1.8498
| TRAIN SET | Epoch [20/30], Step [0223/1733], Loss: 1.9291
| TRAIN SET | Epoch [20/30], Step [0224/1733], Loss: 1.6365
| TRAIN SET | Epoch [20/30], Step [0225/1733], Loss: 1.9839
| TRAIN SET | Epoch [20/30], Step [0226/1733], Loss: 2.0864
| TRAIN SET | Epoch [20/30], Step [0227/1733], Loss: 1.7266
| TRAIN SET | Epoch [20/30], Step [0228/1733], Loss: 1.7182
| TRAIN SET | Epoch [20/30], Step [0229/1733], Loss: 1.8793
| TRAIN SET | Epoch [20/30], Step [0230/1733], Loss: 1.8302
| TRAIN SET | Epoch [20/30], Step [0231/1733], Loss: 1.7409
| TRAIN SET | Epoch [20/30], Step [0232/1733], Loss: 1.6626
| TRAIN SET | Epoch [20/30], Step [0233/1733], Loss: 1.5258
| TRAIN SET | Epoch [20/30], Step [0234/1733], Loss: 1.8200
| TRAIN SET | Epoch [20/30], Step [0235/1733], Loss: 1.9631
| TRAIN SET | Epoch [20/30], Step [0236/1733], Loss: 1.8792
| TRAIN SET | Epoch [20/30], Step [0237/1733], Loss: 1.7282
| TRAIN SET | Epoch [20/30], Step [0238/1733], Loss: 1.6482
| TRAIN SET | Epoch [20/30], Step [0239/1733], Loss: 2.0411
| TRAIN SET | Epoch [20/30], Step [0240/1733], Loss: 1.7695
| TRAIN SET | Epoch [20/30], Step [0241/1733], Loss: 1.6953
| TRAIN SET | Epoch [20/30], Step [0242/1733], Loss: 1.8593
| TRAIN SET | Epoch [20/30], Step [0243/1733], Loss: 1.8322
| TRAIN SET | Epoch [20/30], Step [0244/1733], Loss: 1.8038
| TRAIN SET | Epoch [20/30], Step [0245/1733], Loss: 1.8612
| TRAIN SET | Epoch [20/30], Step [0246/1733], Loss: 1.6735
| TRAIN SET | Epoch [20/30], Step [0247/1733], Loss: 1.6810
| TRAIN SET | Epoch [20/30], Step [0248/1733], Loss: 1.7012
| TRAIN SET | Epoch [20/30], Step [0249/1733], Loss: 1.9436
| TRAIN SET | Epoch [20/30], Step [0250/1733], Loss: 1.8970
| TRAIN SET | Epoch [20/30], Step [0251/1733], Loss: 1.5759
| TRAIN SET | Epoch [20/30], Step [0252/1733], Loss: 1.8109
| TRAIN SET | Epoch [20/30], Step [0253/1733], Loss: 1.7264
| TRAIN SET | Epoch [20/30], Step [0254/1733], Loss: 1.7802
| TRAIN SET | Epoch [20/30], Step [0255/1733], Loss: 1.8022
| TRAIN SET | Epoch [20/30], Step [0256/1733], Loss: 1.8029
| TRAIN SET | Epoch [20/30], Step [0257/1733], Loss: 1.7361
| TRAIN SET | Epoch [20/30], Step [0258/1733], Loss: 2.0057
| TRAIN SET | Epoch [20/30], Step [0259/1733], Loss: 1.8866
| TRAIN SET | Epoch [20/30], Step [0260/1733], Loss: 1.8625
| TRAIN SET | Epoch [20/30], Step [0261/1733], Loss: 1.8360
| TRAIN SET | Epoch [20/30], Step [0262/1733], Loss: 1.9049
| TRAIN SET | Epoch [20/30], Step [0263/1733], Loss: 1.7613
| TRAIN SET | Epoch [20/30], Step [0264/1733], Loss: 1.9644
| TRAIN SET | Epoch [20/30], Step [0265/1733], Loss: 1.8436
| TRAIN SET | Epoch [20/30], Step [0266/1733], Loss: 1.8622
| TRAIN SET | Epoch [20/30], Step [0267/1733], Loss: 1.8608
| TRAIN SET | Epoch [20/30], Step [0268/1733], Loss: 1.9606
| TRAIN SET | Epoch [20/30], Step [0269/1733], Loss: 1.7302
| TRAIN SET | Epoch [20/30], Step [0270/1733], Loss: 1.9371
| TRAIN SET | Epoch [20/30], Step [0271/1733], Loss: 1.8997
| TRAIN SET | Epoch [20/30], Step [0272/1733], Loss: 1.9946
| TRAIN SET | Epoch [20/30], Step [0273/1733], Loss: 1.6001
| TRAIN SET | Epoch [20/30], Step [0274/1733], Loss: 1.7969
| TRAIN SET | Epoch [20/30], Step [0275/1733], Loss: 1.6971
| TRAIN SET | Epoch [20/30], Step [0276/1733], Loss: 1.8781
| TRAIN SET | Epoch [20/30], Step [0277/1733], Loss: 1.9521
| TRAIN SET | Epoch [20/30], Step [0278/1733], Loss: 1.7586
| TRAIN SET | Epoch [20/30], Step [0279/1733], Loss: 1.7458
| TRAIN SET | Epoch [20/30], Step [0280/1733], Loss: 1.9126
| TRAIN SET | Epoch [20/30], Step [0281/1733], Loss: 1.8753
| TRAIN SET | Epoch [20/30], Step [0282/1733], Loss: 1.8792
| TRAIN SET | Epoch [20/30], Step [0283/1733], Loss: 1.8933
| TRAIN SET | Epoch [20/30], Step [0284/1733], Loss: 1.8332
| TRAIN SET | Epoch [20/30], Step [0285/1733], Loss: 2.0702
| TRAIN SET | Epoch [20/30], Step [0286/1733], Loss: 1.8816
| TRAIN SET | Epoch [20/30], Step [0287/1733], Loss: 1.7838
| TRAIN SET | Epoch [20/30], Step [0288/1733], Loss: 1.8953
| TRAIN SET | Epoch [20/30], Step [0289/1733], Loss: 1.7134
| TRAIN SET | Epoch [20/30], Step [0290/1733], Loss: 1.6981
| TRAIN SET | Epoch [20/30], Step [0291/1733], Loss: 1.9058
| TRAIN SET | Epoch [20/30], Step [0292/1733], Loss: 1.8182
| TRAIN SET | Epoch [20/30], Step [0293/1733], Loss: 1.6700
| TRAIN SET | Epoch [20/30], Step [0294/1733], Loss: 1.6098
| TRAIN SET | Epoch [20/30], Step [0295/1733], Loss: 1.9315
| TRAIN SET | Epoch [20/30], Step [0296/1733], Loss: 1.8915
| TRAIN SET | Epoch [20/30], Step [0297/1733], Loss: 1.8690
| TRAIN SET | Epoch [20/30], Step [0298/1733], Loss: 1.7338
| TRAIN SET | Epoch [20/30], Step [0299/1733], Loss: 1.7676
| TRAIN SET | Epoch [20/30], Step [0300/1733], Loss: 1.7477
| TRAIN SET | Epoch [20/30], Step [0301/1733], Loss: 2.0927
| TRAIN SET | Epoch [20/30], Step [0302/1733], Loss: 1.8401
| TRAIN SET | Epoch [20/30], Step [0303/1733], Loss: 1.6637
| TRAIN SET | Epoch [20/30], Step [0304/1733], Loss: 1.8085
| TRAIN SET | Epoch [20/30], Step [0305/1733], Loss: 1.7788
| TRAIN SET | Epoch [20/30], Step [0306/1733], Loss: 1.8864
| TRAIN SET | Epoch [20/30], Step [0307/1733], Loss: 1.8565
| TRAIN SET | Epoch [20/30], Step [0308/1733], Loss: 1.8597
| TRAIN SET | Epoch [20/30], Step [0309/1733], Loss: 1.8674
| TRAIN SET | Epoch [20/30], Step [0310/1733], Loss: 1.6312
| TRAIN SET | Epoch [20/30], Step [0311/1733], Loss: 1.6700
| TRAIN SET | Epoch [20/30], Step [0312/1733], Loss: 1.8516
| TRAIN SET | Epoch [20/30], Step [0313/1733], Loss: 1.9570
| TRAIN SET | Epoch [20/30], Step [0314/1733], Loss: 1.7753
| TRAIN SET | Epoch [20/30], Step [0315/1733], Loss: 1.9359
| TRAIN SET | Epoch [20/30], Step [0316/1733], Loss: 1.8112
| TRAIN SET | Epoch [20/30], Step [0317/1733], Loss: 1.8610
| TRAIN SET | Epoch [20/30], Step [0318/1733], Loss: 1.9013
| TRAIN SET | Epoch [20/30], Step [0319/1733], Loss: 1.7728
| TRAIN SET | Epoch [20/30], Step [0320/1733], Loss: 1.6171
| TRAIN SET | Epoch [20/30], Step [0321/1733], Loss: 1.7702
| TRAIN SET | Epoch [20/30], Step [0322/1733], Loss: 1.6521
| TRAIN SET | Epoch [20/30], Step [0323/1733], Loss: 1.9546
| TRAIN SET | Epoch [20/30], Step [0324/1733], Loss: 1.7978
| TRAIN SET | Epoch [20/30], Step [0325/1733], Loss: 1.7311
| TRAIN SET | Epoch [20/30], Step [0326/1733], Loss: 1.7811
| TRAIN SET | Epoch [20/30], Step [0327/1733], Loss: 1.7546
| TRAIN SET | Epoch [20/30], Step [0328/1733], Loss: 1.8692
| TRAIN SET | Epoch [20/30], Step [0329/1733], Loss: 2.0817
| TRAIN SET | Epoch [20/30], Step [0330/1733], Loss: 1.7213
| TRAIN SET | Epoch [20/30], Step [0331/1733], Loss: 1.9468
| TRAIN SET | Epoch [20/30], Step [0332/1733], Loss: 1.7593
| TRAIN SET | Epoch [20/30], Step [0333/1733], Loss: 1.7775
| TRAIN SET | Epoch [20/30], Step [0334/1733], Loss: 1.7467
| TRAIN SET | Epoch [20/30], Step [0335/1733], Loss: 1.9264
| TRAIN SET | Epoch [20/30], Step [0336/1733], Loss: 1.8997
| TRAIN SET | Epoch [20/30], Step [0337/1733], Loss: 1.8557
| TRAIN SET | Epoch [20/30], Step [0338/1733], Loss: 1.8607
| TRAIN SET | Epoch [20/30], Step [0339/1733], Loss: 1.9647
| TRAIN SET | Epoch [20/30], Step [0340/1733], Loss: 1.8514
| TRAIN SET | Epoch [20/30], Step [0341/1733], Loss: 1.6938
| TRAIN SET | Epoch [20/30], Step [0342/1733], Loss: 1.5944
